cod_cli;dat_ag;num_vac_ag;tipo_vac_ag;obs_ag;ok_ag;indice
3103;2024-01-17;"01        ";RAIVA CAO - NACIONAL;LEVAR CARTEIRINHA;"NF        ";1585
3106;2024-01-18;"02        ";V8 - IMPORTADA;REFORÇO;"NF        ";1587
4172;2024-01-19;"02        ";RAIVA CAO - NACIONAL;REFORÇO;"NF        ";1590
5195;2024-01-19;"01        ";RAIVA CAO - NACIONAL;01 GATO RAIVA NACIONAL;"S         ";3967
5215;2024-01-19;"01        ";RAIVA CAO - IMPORTADA;;"S         ";4002
4173;2024-01-20;"01        ";RAIVA GATO - NACIONAL;REFORÇO;"NF        ";1591
5196;2024-01-22;"03        ";ANTICION;;"S         ";2802
4167;2024-01-24;"01        ";V8 - IMPORTADA;TIERES MARIDO 991237275;"NF        ";1594
4156;2024-01-25;"02        ";RAIVA GATO - NACIONAL;REFORÇO;"NF        ";1596
4179;2024-01-25;"01        ";ANTICION;;"S         ";2799
3101;2024-01-25;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";3993
5223;2024-01-26;"01        ";V12 - NACIONAL;;"NF        ";3990
4107;2024-01-27;"02        ";V12 - NACIONAL;REFORÇO;"S         ";1597
2044;2024-01-27;"06        ";V8 - IMPORTADA;;"S         ";4006
4167;2024-01-28;"01        ";RAIVA CAO - IMPORTADA;REFORÇO;"NF        ";1600
5187;2024-01-29;"01        ";V3 GATO - NACIONAL;;"S         ";3987
2019;2024-01-29;"01        ";V8 - IMPORTADA;;"NF        ";3988
5218;2024-01-30;"01        ";V8 - IMPORTADA;;"S         ";3991
2019;2024-01-30;"01        ";V8 - IMPORTADA;;"S         ";3994
3106;2024-01-30;"02        ";V8 - IMPORTADA;REFORÇO;"S         ";4004
4175;2024-02-02;"02        ";V8 - IMPORTADA;BOBY E TIGRAO;"NF        ";1602
3060;2024-02-02;"02        ";V12 - NACIONAL;;"NF        ";3957
2044;2024-02-03;"4         ";V4 GATO - IMPORTADA;6 RAIVA CAO IMPORTADA;"S         ";4007
2044;2024-02-03;"10        ";RAIVA CAO - NACIONAL;4 SAO GATOS;"S         ";4013
2018;2024-02-04;"02        ";RAIVA CAO - IMPORTADA;REFORÇO;"S         ";1604
5187;2024-02-05;"01        ";RAIVA GATO - NACIONAL;;"S         ";4018
4107;2024-02-06;"02        ";RAIVA CAO - NACIONAL;REFORÇO;"S         ";1605
3060;2024-02-06;"01        ";V12 - NACIONAL;LEVAR CARTEIRINHA;"NF        ";1606
3070;2024-02-07;"01        ";RAIVA GATO - NACIONAL;LILICA;"S         ";1608
3103;2024-02-07;"01        ";RAIVA CAO - NACIONAL;;"S         ";4027
4113;2024-02-08;"01        ";RAIVA CAO - NACIONAL;REFORÇO;"NF        ";1611
4144;2024-02-10;"01        ";V12 - NACIONAL;REFORÇO;"NF        ";4026
3105;2024-02-11;"04        ";OUTROS...;VERMIFUGO;"S         ";3927
4166;2024-02-12;"01        ";V12 - NACIONAL;"REFORÇO AMORA ";"S         ";2635
5206;2024-02-12;"01        ";RAIVA CAO - NACIONAL;;"NF        ";3992
2019;2024-02-12;"01        ";V8 - IMPORTADA;;"S         ";4016
5218;2024-02-12;"01        ";RAIVA CAO - IMPORTADA;;"S         ";4020
2030;2024-02-13;"02        ";V8 - IMPORTADA;REFORÇO;"S         ";1613
4175;2024-02-14;"03        ";RAIVA CAO - IMPORTADA;REFORÇO;"NF        ";1614
4131;2024-02-14;"01        ";V12 - NACIONAL;SPAIK;"NF        ";1615
4176;2024-02-14;"01        ";V8 - IMPORTADA;REFORÇO;"NF        ";1616
3101;2024-02-16;"02        ";RAIVA CAO - IMPORTADA;;"NF        ";4000
4177;2024-02-17;"01        ";V3 GATO - NACIONAL;3° DOSE;"NF        ";4015
4143;2024-02-18;"02        ";ANTICION;;"NF        ";2836
5180;2024-02-19;"01        ";V12 - NACIONAL;REFORÇO;"NF        ";2665
2030;2024-02-20;"02        ";RAIVA CAO - IMPORTADA;;"NF        ";1621
4177;2024-02-26;"01        ";RAIVA GATO - NACIONAL;;"S         ";4045
3070;2024-02-29;"01        ";V3 GATO - NACIONAL;;"NF        ";1625
5224;2024-02-29;"7         ";V12 - NACIONAL;REFORÇO;"S         ";4030
3105;2024-03-02;"4         ";OUTROS...;VERMIFUGO JA ESTA PAGO;"S         ";4033
3070;2024-03-07;"01        ";RAIVA GATO - NACIONAL;REFORÇO MAYA;"NF        ";2636
4166;2024-03-08;"01        ";RAIVA CAO - NACIONAL;REFORÇO AMORA;"NF        ";2634
4113;2024-03-08;"01        ";V12 - NACIONAL;;"S         ";4037
4113;2024-03-08;"01        ";RAIVA CAO - NACIONAL;;"S         ";4048
4113;2024-03-08;"01        ";RAIVA CAO - NACIONAL;;"S         ";4050
4116;2024-03-09;"01        ";V12 - NACIONAL;NICK;"NF        ";2706
5225;2024-03-09;"02        ";V12 - NACIONAL;2° DOSE DAS DUAS;"S         ";4043
2019;2024-03-11;"01        ";RAIVA CAO - IMPORTADA;CACHORRO DO FILHO;"NF        ";4036
2030;2024-03-11;"02        ";RAIVA CAO - IMPORTADA;;"NF        ";4042
5221;2024-03-20;"01        ";ANTICION;;"NF        ";3973
3101;2024-03-20;"02        ";RAIVA CAO - NACIONAL;;"NF        ";4038
5180;2024-03-22;"01        ";V12 - NACIONAL;;"NF        ";4040
4169;2024-03-23;"02        ";V12 - NACIONAL;BOBY E BRINQUEDO;"NF        ";2650
4118;2024-03-24;"02        ";V4 GATO - IMPORTADA;;"S         ";2652
4168;2024-03-26;"01        ";ANTICION;;"S         ";3890
5225;2024-03-29;"02        ";V12 - NACIONAL;;"S         ";4057
5224;2024-03-30;"07        ";V12 - NACIONAL;;"S         ";4047
4166;2024-04-02;"01        ";V12 - NACIONAL;REFORÇO;"NF        ";2654
4118;2024-04-02;"02        ";RAIVA GATO - IMPORTADA;REFORÇO;"S         ";2656
4169;2024-04-03;"02        ";RAIVA CAO - NACIONAL;REFORCO BIDU E BRINQUEDO;"NF        ";2659
4169;2024-04-04;"02        ";RAIVA CAO - NACIONAL;BRINQUEDO E BIDU;"NF        ";2660
5180;2024-04-05;"01        ";RAIVA CAO - NACIONAL;REFORÇO;"NF        ";2666
4122;2024-04-08;"05        ";V12 - NACIONAL;01 GATO;"NF        ";2697
3105;2024-04-10;"01        ";V3 GATO - NACIONAL;PANDORA;"S         ";2669
4119;2024-04-10;"01        ";V8 - IMPORTADA;;"NF        ";2690
3098;2024-04-12;"02        ";V8 - IMPORTADA;REFORÇO;"NF        ";2674
5207;2024-04-12;"01        ";ANTICION;;"S         ";3935
4122;2024-04-15;"05        ";RAIVA CAO - NACIONAL;01 GATO;"NF        ";2698
5182;2024-04-17;"04        ";V12 - NACIONAL;REFORÇO;"NF        ";2683
4119;2024-04-17;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2691
3098;2024-04-18;"02        ";V12 - NACIONAL;;"NF        ";2714
4124;2024-04-19;"02        ";V8 - IMPORTADA;TONI E MEL;"NF        ";2685
3098;2024-04-23;"02        ";RAIVA CAO - IMPORTADA;NEGRAO E AMARELO;"NF        ";2686
4116;2024-04-23;"01        ";V12 - NACIONAL;REFORÇO;"NF        ";2687
4166;2024-04-23;"01        ";RAIVA CAO - NACIONAL;;"NF        ";2693
4177;2024-04-24;"02        ";V8 - IMPORTADA;KIARA E LUA;"NF        ";2708
4119;2024-04-26;"01        ";RAIVA CAO - NACIONAL;;"NF        ";2695
4178;2024-04-27;"01        ";V12 - NACIONAL;;"NF        ";2700
3070;2024-05-01;"01        ";RAIVA CAO - NACIONAL;REFORÇO;"NF        ";2704
4116;2024-05-01;"02        ";RAIVA CAO - NACIONAL;01 THOR 01 NICK;"NF        ";2705
3088;2024-05-02;"01        ";ANTICION;;"S         ";3952
4127;2024-05-03;"02        ";V8 - IMPORTADA;REFORÇO;"NF        ";2707
3098;2024-05-03;"02        ";V12 - NACIONAL;;"NF        ";4072
3082;2024-05-04;"02        ";RAIVA GATO - NACIONAL;;"NF        ";2710
5224;2024-05-04;"7         ";V12 - NACIONAL;;"S         ";4087
4115;2024-05-06;"01        ";V8 - IMPORTADA;;"NF        ";2711
4127;2024-05-06;"02        ";RAIVA CAO - IMPORTADA;;"NF        ";2712
4176;2024-05-06;"01        ";V8 - IMPORTADA;;"NF        ";4051
3070;2024-05-06;"01        ";RAIVA GATO - NACIONAL;;"NF        ";4055
4166;2024-05-06;"02        ";RAIVA CAO - IMPORTADA;;"S         ";4056
2030;2024-05-06;"02        ";RAIVA CAO - NACIONAL;;"NF        ";4059
4124;2024-05-06;"02        ";V8 - IMPORTADA;;"S         ";4073
4123;2024-05-07;"01        ";RAIVA CAO - NACIONAL;;"NF        ";2713
3091;2024-05-08;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2715
5230;2024-05-08;"01        ";V8 - IMPORTADA;;"S         ";4100
4177;2024-05-09;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2722
3101;2024-05-09;"02        ";RAIVA CAO - NACIONAL;;"NF        ";4058
5228;2024-05-14;"02        ";V8 - IMPORTADA;;"S         ";4084
5180;2024-05-15;"01        ";RAIVA CAO - NACIONAL;;"S         ";4068
4177;2024-05-15;"02        ";V8 - IMPORTADA;;"S         ";4075
3070;2024-05-16;"01        ";V12 - NACIONAL;1 DOENÇA GARRINCHA GATO;"NF        ";2725
5231;2024-05-16;"01        ";RAIVA CAO - NACIONAL;;"S         ";4110
5186;2024-05-17;"01        ";V8 - IMPORTADA;REFORÇO;"NF        ";2724
4178;2024-05-18;"01        ";RAIVA CAO - NACIONAL;;"NF        ";2726
5227;2024-05-20;"04        ";RAIVA CAO - IMPORTADA;;"NF        ";4063
4119;2024-05-20;"01        ";V8 - IMPORTADA;;"NF        ";4076
4119;2024-05-20;"01        ";V8 - IMPORTADA;;"NF        ";4077
5225;2024-05-20;"02        ";RAIVA CAO - NACIONAL;;"S         ";4095
2030;2024-05-20;"02        ";RAIVA CAO - NACIONAL;;"S         ";4098
4177;2024-05-20;"02        ";RAIVA CAO - IMPORTADA;;"S         ";4105
4178;2024-05-21;"01        ";V12 - NACIONAL;;"NF        ";4101
4179;2024-05-22;"01        ";V12 - NACIONAL;REFORÇO;"NF        ";2728
4172;2024-05-22;"02        ";RAIVA CAO - NACIONAL;;"NF        ";4061
4127;2024-05-22;"02        ";V8 - IMPORTADA;;"NF        ";4102
4169;2024-05-23;"02        ";V12 - NACIONAL;;"S         ";4065
3070;2024-05-24;"01        ";RAIVA GATO - NACIONAL;GARRINCHA;"NF        ";2731
4127;2024-05-24;"02        ";V8 - IMPORTADA;;"NF        ";2736
5182;2024-05-24;"04        ";V12 - NACIONAL;;"NF        ";4071
4142;2024-05-24;"01        ";V4 GATO - IMPORTADA;3 DOSE;"S         ";4090
3102;2024-05-25;"02        ";RAIVA GATO - IMPORTADA;;"S         ";2733
3046;2024-05-27;"02        ";V8 - IMPORTADA;REFORÇO;"NF        ";2739
3098;2024-05-27;"02        ";RAIVA CAO - NACIONAL;;"NF        ";4074
4119;2024-05-27;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";4078
4119;2024-05-27;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";4079
4127;2024-05-27;"02        ";RAIVA CAO - IMPORTADA;;"NF        ";4106
5225;2024-05-27;"02        ";V3 GATO - NACIONAL;LEVAR CARTEIRINHA;"NF        ";4117
5187;2024-05-28;"01        ";RAIVA CAO - NACIONAL;;"S         ";2779
5180;2024-05-29;"01        ";RAIVA CAO - NACIONAL;;"S         ";4069
5230;2024-05-29;"01        ";V8 - IMPORTADA;2 DOSE;"NF        ";4109
4169;2024-05-30;"02        ";RAIVA CAO - NACIONAL;;"NF        ";4066
4169;2024-05-30;"02        ";RAIVA CAO - NACIONAL;;"NF        ";4067
5224;2024-05-30;"7         ";RAIVA CAO - NACIONAL;;"NF        ";4093
3082;2024-05-31;"02        ";RAIVA GATO - NACIONAL;;"NF        ";4103
4127;2024-06-01;"02        ";RAIVA CAO - IMPORTADA;;"NF        ";2744
4179;2024-06-01;"01        ";RAIVA CAO - NACIONAL;;"S         ";2745
5181;2024-06-03;"02        ";RAIVA GATO - NACIONAL;;"S         ";2743
5183;2024-06-05;"02        ";V3 GATO - NACIONAL;;"S         ";2747
5226;2024-06-05;"3         ";ANTICION;;"NF        ";4060
4115;2024-06-05;"01        ";V8 - IMPORTADA;;"NF        ";4104
5186;2024-06-06;"01        ";V8 - IMPORTADA;;"NF        ";4114
4134;2024-06-07;"02        ";V8 - IMPORTADA;;"NF        ";2748
3101;2024-06-07;"02        ";RAIVA CAO - NACIONAL;;"S         ";4121
4119;2024-06-07;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";4122
2035;2024-06-08;"02        ";V12 - NACIONAL;;"NF        ";2746
3049;2024-06-08;"01        ";V8 - IMPORTADA;;"NF        ";2749
4135;2024-06-11;"01        ";V8 - IMPORTADA;;"S         ";2750
4139;2024-06-11;"01        ";V8 - IMPORTADA;;"NF        ";2778
5234;2024-06-13;"01        ";RAIVA CAO - NACIONAL;;"S         ";4132
3105;2024-06-14;"4         ";V3 GATO - NACIONAL;TODOS OS GATOS;"NF        ";4053
4169;2024-06-14;"01        ";ANTICION;;"S         ";4081
5196;2024-06-15;"02        ";ANTICION;;"NF        ";3999
3098;2024-06-19;"02        ";RAIVA CAO - NACIONAL;;"S         ";4141
5189;2024-06-20;"01        ";RAIVA CAO - IMPORTADA;REFORCO;"S         ";2756
4134;2024-06-20;"02        ";RAIVA CAO - IMPORTADA;;"S         ";2757
4143;2024-06-20;"1         ";ANTICION;;"NF        ";4039
3105;2024-06-21;"03        ";RAIVA GATO - NACIONAL;;"NF        ";2762
4179;2024-06-21;"01        ";ANTICION;;"S         ";4008
5181;2024-06-22;"03        ";V3 GATO - NACIONAL;;"S         ";4135
4135;2024-06-25;"01        ";RAIVA CAO - IMPORTADA;;"S         ";2764
5233;2024-06-25;"01        ";V3 GATO - NACIONAL;01 RAIVA;"NF        ";4124
5189;2024-06-26;"01        ";RAIVA CAO - IMPORTADA;;"S         ";2765
5183;2024-06-30;"2         ";RAIVA GATO - NACIONAL;;"S         ";2766
5183;2024-07-01;"2         ";V3 GATO - NACIONAL;2 RAIVA 3 V12;"S         ";4139
5236;2024-07-04;"1         ";V8 - IMPORTADA;2° DOSE;"NF        ";4143
3070;2024-07-05;"04        ";V3 GATO - NACIONAL;;"S         ";5143
5191;2024-07-08;"01        ";V12 - NACIONAL;;"NF        ";2773
4169;2024-07-08;"02        ";RAIVA CAO - NACIONAL;;"S         ";4130
5187;2024-07-10;"01        ";V12 - NACIONAL;;"S         ";2777
3058;2024-07-10;"01        ";V12 - NACIONAL;;"NF        ";2785
4139;2024-07-11;"01        ";V8 - IMPORTADA;;"S         ";5146
4178;2024-07-11;"01        ";V8 - IMPORTADA;01 RAIVA NACIONAL;"S         ";5162
3049;2024-07-12;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2751
5206;2024-07-12;"01        ";V12 - NACIONAL;LEVAR CARTEIRINHA;"NF        ";5157
5181;2024-07-14;"01        ";V3 GATO - NACIONAL;;"S         ";5160
5192;2024-07-15;"2         ";RAIVA CAO - IMPORTADA;;"NF        ";2780
5184;2024-07-16;"01        ";V12 - NACIONAL;;"NF        ";2781
3105;2024-07-17;"4         ";MEDICAMENTOS;VERMIFUGO;"NF        ";4052
3105;2024-07-18;"04        ";RAIVA GATO - NACIONAL;;"S         ";4144
2035;2024-07-19;"02        ";V12 - NACIONAL;;"NF        ";5159
5224;2024-07-20;"07        ";RAIVA CAO - NACIONAL;;"NF        ";4123
5224;2024-07-20;"7         ";RAIVA CAO - NACIONAL;;"NF        ";4125
5183;2024-07-23;"02        ";V3 GATO - NACIONAL;;"S         ";5168
5184;2024-07-24;"02        ";RAIVA CAO - NACIONAL;;"NF        ";2788
4124;2024-07-25;"02        ";RAIVA CAO - IMPORTADA;;"S         ";2790
3105;2024-07-26;"04        ";V3 GATO - NACIONAL;TODOS OS GATOS;"NF        ";2783
3053;2024-07-26;"01        ";RAIVA CAO - IMPORTADA;;"S         ";2791
5193;2024-07-26;"01        ";V8 - IMPORTADA;;"S         ";2792
6239;2024-07-26;"01        ";RAIVA CAO - IMPORTADA;;"S         ";5181
4147;2024-07-29;"05        ";V12 - NACIONAL;MAIS 12 GATOS;"S         ";2793
4138;2024-07-29;"01        ";V8 - IMPORTADA;;"NF        ";2794
5183;2024-07-29;"02        ";RAIVA GATO - NACIONAL;;"S         ";5190
5207;2024-07-30;"01        ";ANTICION;;"NF        ";4070
5233;2024-07-30;"01        ";RAIVA GATO - NACIONAL;LEVAR CARTEIRINHA;"NF        ";5166
5236;2024-07-30;"01        ";V8 - IMPORTADA;;"NF        ";5170
3046;2024-07-31;"02        ";RAIVA CAO - NACIONAL;;"NF        ";2796
4179;2024-08-01;"01        ";ANTICION;;"S         ";4145
4178;2024-08-01;"01        ";V8 - IMPORTADA;LEMBRAR DO NEX 4/10 KILOS;"S         ";5172
4137;2024-08-03;"01        ";V12 - NACIONAL;;"NF        ";2797
5181;2024-08-03;"01        ";V3 GATO - NACIONAL;;"S         ";5175
5224;2024-08-03;"07        ";RAIVA CAO - NACIONAL;;"S         ";5176
5193;2024-08-05;"01        ";RAIVA CAO - IMPORTADA;;"S         ";2800
6237;2024-08-06;"01        ";V8 - IMPORTADA;AVISAR A GISELE;"S         ";5177
3105;2024-08-06;"04        ";OUTROS...;VERMIFUGO;"NF        ";5180
4168;2024-08-07;"01        ";ANTICION;;"S         ";4080
6238;2024-08-07;"01        ";V8 - IMPORTADA;;"S         ";5178
6243;2024-08-07;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";5210
3067;2024-08-08;"01        ";V12 - NACIONAL;;"S         ";2807
4124;2024-08-08;"02        ";V8 - IMPORTADA;;"S         ";2808
5229;2024-08-08;"8         ";RAIVA CAO - NACIONAL;;"NF        ";4088
4137;2024-08-09;"01        ";RAIVA CAO - NACIONAL;;"NF        ";2809
3069;2024-08-09;"02        ";V12 - NACIONAL;;"NF        ";2812
6243;2024-08-12;"01        ";RAIVA CAO - IMPORTADA;;"S         ";5212
5181;2024-08-13;"01        ";RAIVA GATO - NACIONAL;;"S         ";5206
5236;2024-08-16;"01        ";V8 - IMPORTADA;;"NF        ";5185
6241;2024-08-17;"01        ";V8 - IMPORTADA;;"NF        ";5194
4147;2024-08-20;"16        ";RAIVA CAO - NACIONAL;;"NF        ";2814
5188;2024-08-20;"01        ";V8 - IMPORTADA;;"NF        ";2815
4178;2024-08-21;"01        ";V8 - IMPORTADA;;"S         ";5200
6242;2024-08-21;"01        ";V12 - NACIONAL;;"S         ";5201
3105;2024-08-21;"04        ";OUTROS...;VERMIFUGO;"NF        ";5205
5199;2024-08-23;"01        ";V12 - NACIONAL;REFORÇO;"S         ";2819
5194;2024-08-25;"01        ";RAIVA CAO - IMPORTADA;;"S         ";2822
5199;2024-08-27;"01        ";RAIVA CAO - NACIONAL;;"S         ";2825
5188;2024-08-27;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2826
4150;2024-08-28;"01        ";V12 - NACIONAL;;"NF        ";2828
6237;2024-08-30;"01        ";V8 - IMPORTADA;LIGAR PARA PATRICIA 994473377;"S         ";5208
3099;2024-09-02;"02        ";V8 - IMPORTADA;;"NF        ";2830
6238;2024-09-02;"01        ";V8 - IMPORTADA;;"NF        ";5213
2022;2024-09-04;"01        ";RAIVA CAO - NACIONAL;;"NF        ";2834
6244;2024-09-04;"02        ";RAIVA GATO - NACIONAL;JA ESTA PAGO;"S         ";5230
5226;2024-09-06;"03        ";ANTICION;;"S         ";4136
4137;2024-09-06;"01        ";V12 - NACIONAL;;"NF        ";5222
4139;2024-09-09;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2851
5183;2024-09-09;"03        ";V12 - NACIONAL;;"S         ";5196
3073;2024-09-10;"02        ";RAIVA CAO - IMPORTADA;01 É GATO;"NF        ";2846
6242;2024-09-11;"01        ";V12 - NACIONAL;;"NF        ";5224
3067;2024-09-12;"01        ";RAIVA CAO - NACIONAL;;"S         ";2837
4132;2024-09-12;"01        ";V8 - IMPORTADA;;"S         ";5227
4178;2024-09-12;"01        ";RAIVA CAO - IMPORTADA;;"S         ";5228
4139;2024-09-13;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2841
5202;2024-09-13;"01        ";V8 - IMPORTADA;;"NF        ";2843
5188;2024-09-13;"01        ";V8 - IMPORTADA;;"S         ";5218
4137;2024-09-13;"01        ";RAIVA CAO - NACIONAL;;"NF        ";5223
3069;2024-09-14;"02        ";RAIVA CAO - NACIONAL;;"NF        ";2838
4124;2024-09-14;"02        ";RAIVA CAO - IMPORTADA;;"S         ";2840
4151;2024-09-17;"01        ";V8 - IMPORTADA;;"NF        ";2852
4169;2024-09-17;"01        ";ANTICION;;"S         ";5152
4150;2024-09-19;"01        ";RAIVA CAO - NACIONAL;;"NF        ";2853
6237;2024-09-19;"01        ";V8 - IMPORTADA;;"NF        ";5229
6245;2024-09-19;"01        ";V8 - IMPORTADA;;"NF        ";5232
3074;2024-09-20;"01        ";V12 - NACIONAL;;"S         ";2854
5188;2024-09-20;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";5219
3073;2024-09-21;"02        ";V8 - IMPORTADA;1 GATO DOENÇA IMPORTADA;"S         ";2847
5202;2024-09-22;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2857
4151;2024-09-24;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2859
5205;2024-09-25;"01        ";V12 - NACIONAL;;"NF        ";2863
5183;2024-09-25;"03        ";RAIVA CAO - NACIONAL;;"NF        ";5244
6248;2024-09-27;"02        ";V12 - NACIONAL;1° DOSE;"S         ";5246
3073;2024-09-28;"02        ";RAIVA CAO - IMPORTADA;01 É DE GATO;"NF        ";5233
6246;2024-09-30;"02        ";V3 GATO - NACIONAL;;"NF        ";5235
5205;2024-10-02;"01        ";RAIVA CAO - NACIONAL;;"NF        ";2866
5203;2024-10-03;"02        ";V3 GATO - NACIONAL;;"S         ";2872
4132;2024-10-03;"01        ";V8 - IMPORTADA;;"S         ";5238
6237;2024-10-03;"01        ";V8 - IMPORTADA;;"S         ";5254
5208;2024-10-04;"03        ";V3 GATO - NACIONAL;REFORÇO;"NF        ";2871
3088;2024-10-04;"01        ";ANTICION;;"S         ";4099
5188;2024-10-04;"01        ";RAIVA CAO - IMPORTADA;;"S         ";5252
4158;2024-10-08;"02        ";V12 - NACIONAL;;"NF        ";2874
3082;2024-10-09;"02        ";RAIVA GATO - NACIONAL;;"NF        ";2876
5183;2024-10-09;"03        ";RAIVA CAO - NACIONAL;;"S         ";5253
5200;2024-10-10;"02        ";V3 GATO - NACIONAL;;"NF        ";2879
5190;2024-10-10;"01        ";V12 - NACIONAL;;"NF        ";2880
4176;2024-10-10;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";2882
5203;2024-10-10;"02        ";RAIVA GATO - IMPORTADA;;"S         ";2883
6247;2024-10-10;"01        ";V8 - IMPORTADA;;"S         ";5245
4151;2024-10-10;"01        ";RAIVA CAO - IMPORTADA;;"S         ";5251
3079;2024-10-11;"02        ";RAIVA CAO - NACIONAL;;"S         ";3888
5210;2024-10-11;"01        ";V12 - NACIONAL;;"S         ";3891
6251;2024-10-11;"01        ";V8 - IMPORTADA;;"NF        ";5255
3074;2024-10-15;"01        ";RAIVA CAO - NACIONAL;;"S         ";3885
3079;2024-10-16;"02        ";V12 - NACIONAL;;"S         ";3887
3070;2024-10-16;"01        ";V3 GATO - NACIONAL;LILICA;"NF        ";3889
6249;2024-10-16;"01        ";V8 - IMPORTADA;;"S         ";5247
6250;2024-10-16;"02        ";V8 - IMPORTADA;;"S         ";5248
6250;2024-10-16;"          ";;;"S         ";5249
6248;2024-10-17;"02        ";V12 - NACIONAL;;"S         ";5258
5210;2024-10-18;"01        ";RAIVA CAO - NACIONAL;;"S         ";3892
2025;2024-10-18;"01        ";V12 - NACIONAL;;"NF        ";3893
6253;2024-10-18;"02        ";V8 - IMPORTADA;;"S         ";5260
6237;2024-10-22;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";5265
4132;2024-10-24;"01        ";V8 - IMPORTADA;;"S         ";5263
2025;2024-10-25;"01        ";RAIVA CAO - NACIONAL;;"NF        ";3894
5211;2024-10-25;"01        ";V8 - IMPORTADA;;"NF        ";3897
5201;2024-10-26;"01        ";V8 - IMPORTADA;;"NF        ";3898
2018;2024-10-26;"02        ";V8 - IMPORTADA;;"S         ";3900
3073;2024-10-26;"02        ";RAIVA CAO - IMPORTADA;01 GATO;"S         ";5267
5211;2024-10-29;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";3904
5211;2024-10-30;"01        ";RAIVA CAO - IMPORTADA;;"S         ";3901
5209;2024-10-30;"01        ";RAIVA CAO - NACIONAL;;"S         ";3903
6247;2024-11-01;"01        ";V8 - IMPORTADA;;"NF        ";5274
3106;2024-11-05;"01        ";V8 - IMPORTADA;;"NF        ";3908
5201;2024-11-05;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";3911
3059;2024-11-06;"03        ";V12 - NACIONAL;01 GATO RAIVA DA IRMA;"S         ";3910
4159;2024-11-06;"01        ";V12 - NACIONAL;;"NF        ";3914
6253;2024-11-06;"02        ";RAIVA CAO - IMPORTADA;;"NF        ";5283
5208;2024-11-07;"03        ";RAIVA GATO - NACIONAL;;"NF        ";2873
5212;2024-11-07;"03        ";V12 - NACIONAL;;"NF        ";3917
6249;2024-11-07;"01        ";V8 - IMPORTADA;;"S         ";5276
6250;2024-11-07;"02        ";V8 - IMPORTADA;;"NF        ";5277
5214;2024-11-08;"03        ";V8 - IMPORTADA;;"NF        ";3920
5216;2024-11-08;"05        ";V8 - IMPORTADA;;"S         ";3924
6248;2024-11-08;"02        ";V12 - NACIONAL;;"NF        ";5279
4159;2024-11-09;"01        ";RAIVA CAO - NACIONAL;;"NF        ";3921
5212;2024-11-12;"03        ";RAIVA CAO - NACIONAL;;"NF        ";3928
5217;2024-11-13;"01        ";V3 GATO - NACIONAL;;"S         ";3926
5217;2024-11-13;"01        ";V8 - IMPORTADA;REFORÇO;"S         ";3930
4132;2024-11-13;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";5290
3106;2024-11-15;"03        ";RAIVA CAO - IMPORTADA;;"S         ";3931
3092;2024-11-18;"01        ";V8 - IMPORTADA;;"NF        ";3933
3059;2024-11-18;"04        ";RAIVA CAO - NACIONAL;01 DOENÇA GATO DA IRMA;"NF        ";5294
6249;2024-11-19;"01        ";RAIVA CAO - IMPORTADA;;"S         ";5297
3087;2024-11-21;"01        ";V8 - IMPORTADA;;"NF        ";3936
3099;2024-11-22;"01        ";V8 - IMPORTADA;;"NF        ";3939
5219;2024-11-22;"01        ";V8 - IMPORTADA;;"NF        ";3941
5204;2024-11-26;"01        ";V8 - IMPORTADA;REFORÇO;"NF        ";3942
3087;2024-11-27;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";3945
5219;2024-11-27;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";3946
5226;2024-12-06;"3         ";ANTICION;;"S         ";5234
3092;2024-12-10;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";3954
5216;2024-12-10;"05        ";RAIVA CAO - IMPORTADA;;"S         ";5301
6256;2024-12-10;"01        ";V12 - NACIONAL;LEVAR A CARTEIRINHA;"S         ";5302
3060;2024-12-11;"02        ";RAIVA CAO - NACIONAL;;"NF        ";3958
5204;2024-12-11;"01        ";RAIVA CAO - IMPORTADA;;"NF        ";3959
4169;2024-12-11;"01        ";ANTICION;;"NF        ";5239
3106;2024-12-11;"02        ";V8 - IMPORTADA;;"S         ";5304
